id,city_id,name,pob_total,pob_mas,pob_fem
320,Comala,Saint Francis,2,*,*
321,Comala,El Fresnito,13,8,5
322,Comala,Rancho del Medio (Petronilo Castro),4,*,*
323,Comala,Fortino Llerenas (Potrero de las Brenas),1,*,*
324,Comala,Copalitos,1,*,*
325,Comala,El Naranjito,4,*,*
326,Comala,La Canada,37,18,19
327,Comala,El Charango,5,*,*
328,Comala,Don Clemente,1,*,*
329,Comala,El Embudo,2,*,*
330,Comala,Las Higuerillas,9,*,*
331,Comala,La Huizachera,1,*,*
332,Comala,Las Latas,1,*,*
333,Comala,Luis Montes,6,*,*
334,Comala,Palo Alto,2,*,*
335,Comala,Los Pinos,4,*,*
336,Comala,Potrero de San Miguel,5,*,*
337,Comala,Los Tomatillos,16,10,6
338,Comala,La Tescalama,13,*,*
339,Comala,Ninguno [Cribados y Derivados del Pacifico],3,*,*
340,Comala,La Laguna,1,*,*
341,Comala,Alberto Bolio,6,*,*
342,Comala,Los Potros,2,*,*
343,Comala,David Delgado,1,*,*
344,Comala,Efren Hernandez,2,*,*
345,Comala,Efren Rolon,5,*,*
346,Comala,Francisco Valencia,4,*,*
347,Comala,Las Gemelas,1,*,*
348,Comala,Genaro Ramirez,5,*,*
349,Comala,Heriberto Medina,1,*,*
350,Comala,Jesus Lizama,2,*,*
351,Comala,Lucia de los Santos,3,*,*
352,Comala,Nicasio Ponce,4,*,*
353,Comala,Ex-Hacienda Paredes Grandes,3,*,*
354,Comala,Pintores Dos,36,17,19
355,Comala,Jesus Rubio,1,*,*
356,Comala,Rose Hill,2,*,*
357,Comala,Saul Gonzalez,1,*,*
358,Comala,El Venado,5,*,*
359,Comala,Boboyado,2,*,*
360,Comala,La Parota,7,*,*
361,Comala,Comala,4,*,*
362,Comala,Colonia Miguel de la Madrid Hurtado,19,13,6
363,Comala,Jose Fuentes,1,*,*
364,Comala,Residencial Ex-Hacienda de Nogueras,10,7,3
365,Comala,Las Moras,5,*,*
366,Comala,Beto Llerenas,5,*,*
367,Comala,Buenos Aires,7,*,*
368,Comala,Everardo Arzac Gomez,5,*,*
369,Comala,Majahual [Granja],4,*,*
370,Comala,La Canada,2,*,*
371,Comala,Las Higueras,2,*,*
372,Comala,Cirilo Cruz Martinez,1,*,*
373,Comala,Don Helio,1,*,*
374,Comala,El Bajio,5,*,*
375,Comala,Ex-Hacienda los Colomos,2,*,*
376,Comala,Fraccionamiento Barranca del Coyote,4,*,*
377,Comala,Loma Alta,8,4,4
378,Comala,Los Helechos,1,*,*
379,Comala,Los Tamarindos,2,*,*
380,Comala,Residencial Campestre los Mezcales,12,5,7
384,Coquimatlan,Coquimatlan,13358,6645,6713
385,Coquimatlan,Agua Zarca,297,158,139
386,Coquimatlan,El Alcomun (Luis Echeverria alvarez),130,69,61
387,Coquimatlan,El Algodonal,155,68,87
388,Coquimatlan,Buenos Aires,5,*,*
389,Coquimatlan,El Colomo,74,40,34
390,Coquimatlan,Cruz de Piedra,101,53,48
391,Coquimatlan,El Chical,436,210,226
392,Coquimatlan,La Esperanza,640,334,306
393,Coquimatlan,Jala,487,241,246
394,Coquimatlan,Pueblo Juarez (La Magdalena),2477,1240,1237
395,Coquimatlan,Los Limones,416,229,187
